"","temperatuurklasse","sneeuwtype","lawine_alarm"
"932","laag","nat","licht"
"933","hoog","nat","licht"
"934","hoog","nat","licht"
"935","gemiddeld","droog","licht"
"936","laag","nat","licht"
"937","laag","droog","licht"
"938","gemiddeld","droog","licht"
"939","laag","droog","licht"
"940","hoog","nat","licht"
"941","hoog","droog","licht"
"942","laag","droog","licht"
"943","hoog","droog","sterk"
"944","gemiddeld","droog","licht"
"945","gemiddeld","droog","licht"
"946","gemiddeld","droog","licht"
"947","gemiddeld","nat","licht"
"948","laag","nat","licht"
"949","laag","droog","licht"
"950","laag","nat","licht"
"951","hoog","droog","licht"
"952","hoog","nat","licht"
"953","gemiddeld","nat","licht"
"954","laag","droog","licht"
"955","gemiddeld","droog","licht"
"956","hoog","nat","licht"
"957","laag","droog","licht"
"958","hoog","droog","licht"
"959","gemiddeld","droog","licht"
"960","hoog","nat","licht"
"961","hoog","droog","licht"
"962","gemiddeld","droog","licht"
"963","hoog","nat","licht"
"964","gemiddeld","droog","licht"
"965","hoog","droog","licht"
"966","hoog","nat","licht"
"967","hoog","droog","licht"
"968","laag","nat","sterk"
"969","laag","droog","licht"
"970","gemiddeld","nat","licht"
"971","laag","droog","licht"
"972","gemiddeld","nat","licht"
"973","gemiddeld","nat","sterk"
"974","laag","nat","licht"
"975","hoog","nat","licht"
"976","hoog","droog","sterk"
"977","hoog","nat","licht"
"978","gemiddeld","nat","sterk"
"979","gemiddeld","droog","sterk"
"980","laag","nat","licht"
"981","hoog","droog","licht"
"982","hoog","droog","licht"
"983","laag","droog","licht"
"984","hoog","nat","sterk"
"985","hoog","nat","licht"
"986","gemiddeld","droog","licht"
"987","gemiddeld","nat","licht"
"988","hoog","nat","licht"
"989","laag","nat","licht"
"990","gemiddeld","droog","sterk"
"991","hoog","nat","licht"
"992","gemiddeld","nat","licht"
"993","gemiddeld","droog","licht"
"994","hoog","droog","sterk"
"995","hoog","droog","sterk"
"996","laag","droog","licht"
"997","gemiddeld","droog","licht"
"998","hoog","nat","licht"
"999","hoog","nat","licht"
"1000","hoog","nat","licht"
"1001","gemiddeld","nat","licht"
"1002","gemiddeld","nat","licht"
"1003","hoog","droog","licht"
"1004","laag","droog","licht"
"1005","hoog","droog","sterk"
"1006","hoog","nat","sterk"
"1007","gemiddeld","droog","licht"
"1008","gemiddeld","droog","licht"
"1009","laag","droog","licht"
"1010","gemiddeld","nat","licht"
"1011","laag","nat","sterk"
"1012","gemiddeld","droog","licht"
"1013","hoog","droog","licht"
"1014","laag","droog","licht"
"1015","gemiddeld","droog","licht"
"1016","laag","nat","licht"
"1017","laag","nat","licht"
"1018","hoog","droog","licht"
"1019","hoog","droog","licht"
"1020","hoog","droog","licht"
"1021","hoog","droog","licht"
"1022","laag","droog","sterk"
"1023","hoog","droog","licht"
"1024","laag","droog","licht"
"1025","hoog","nat","licht"
"1026","laag","droog","licht"
"1027","gemiddeld","nat","licht"
"1028","hoog","nat","licht"
"1029","hoog","droog","licht"
"1030","gemiddeld","nat","licht"
"1031","gemiddeld","droog","sterk"
"1032","gemiddeld","droog","licht"
"1033","hoog","nat","licht"
"1034","laag","droog","licht"
"1035","gemiddeld","droog","licht"
"1036","hoog","droog","licht"
"1037","hoog","nat","licht"
"1038","gemiddeld","nat","licht"
"1039","laag","droog","licht"
"1040","hoog","nat","licht"
"1041","hoog","droog","licht"
"1042","hoog","nat","licht"
"1043","gemiddeld","nat","licht"
"1044","gemiddeld","nat","licht"
"1045","hoog","droog","licht"
"1046","gemiddeld","nat","licht"
"1047","gemiddeld","droog","licht"
"1048","hoog","droog","licht"
"1049","gemiddeld","nat","licht"
"1050","laag","droog","licht"
"1051","hoog","nat","sterk"
"1052","gemiddeld","droog","licht"
"1053","gemiddeld","droog","sterk"
"1054","laag","droog","licht"
"1055","laag","droog","sterk"
"1056","hoog","droog","licht"
"1057","laag","droog","licht"
"1058","gemiddeld","nat","licht"
"1059","gemiddeld","droog","licht"
"1060","hoog","nat","licht"
"1061","hoog","droog","licht"
"1062","laag","droog","licht"
"1063","laag","droog","licht"
"1064","hoog","nat","licht"
"1065","gemiddeld","nat","licht"
"1066","laag","droog","licht"
"1067","hoog","droog","licht"
"1068","hoog","droog","licht"
"1069","laag","droog","licht"
"1070","gemiddeld","nat","licht"
"1071","hoog","nat","licht"
"1072","hoog","droog","licht"
"1073","gemiddeld","droog","licht"
"1074","gemiddeld","nat","sterk"
"1075","laag","droog","licht"
"1076","gemiddeld","nat","licht"
"1077","gemiddeld","nat","sterk"
"1078","hoog","droog","licht"
"1079","hoog","droog","sterk"
"1080","hoog","nat","licht"
"1081","hoog","droog","licht"
"1082","hoog","nat","licht"
"1083","gemiddeld","droog","licht"
"1084","hoog","nat","licht"
"1085","gemiddeld","nat","licht"
"1086","laag","nat","licht"
"1087","gemiddeld","droog","licht"
"1088","hoog","nat","licht"
"1089","laag","droog","licht"
"1090","gemiddeld","droog","licht"
"1091","gemiddeld","nat","licht"
"1092","gemiddeld","nat","licht"
"1093","hoog","droog","licht"
"1094","hoog","nat","licht"
"1095","gemiddeld","droog","licht"
"1096","laag","nat","licht"
"1097","hoog","droog","licht"
"1098","gemiddeld","nat","licht"
"1099","gemiddeld","droog","licht"
"1100","laag","nat","licht"
"1101","gemiddeld","droog","licht"
"1102","hoog","droog","licht"
"1103","gemiddeld","nat","licht"
"1104","hoog","nat","licht"
"1105","hoog","droog","licht"
"1106","gemiddeld","droog","licht"
"1107","hoog","nat","licht"
"1108","gemiddeld","droog","licht"
"1109","laag","droog","licht"
"1110","hoog","droog","licht"
"1111","hoog","droog","sterk"
"1112","gemiddeld","nat","licht"
"1113","hoog","droog","licht"
"1114","gemiddeld","droog","sterk"
"1115","laag","droog","licht"
"1116","gemiddeld","nat","licht"
"1117","hoog","nat","licht"
"1118","gemiddeld","droog","licht"
"1119","hoog","droog","sterk"
"1120","laag","droog","licht"
"1121","hoog","droog","licht"
"1122","laag","droog","sterk"
"1123","gemiddeld","droog","licht"
"1124","laag","nat","licht"
"1125","laag","nat","licht"
"1126","laag","droog","licht"
"1127","hoog","nat","sterk"
"1128","gemiddeld","nat","licht"
"1129","hoog","droog","licht"
"1130","hoog","droog","licht"
"1131","laag","nat","licht"
"1132","hoog","nat","sterk"
"1133","gemiddeld","droog","licht"
"1134","gemiddeld","nat","licht"
"1135","gemiddeld","nat","licht"
"1136","hoog","droog","licht"
"1137","hoog","droog","licht"
"1138","gemiddeld","nat","licht"
"1139","laag","nat","licht"
"1140","gemiddeld","nat","licht"
"1141","hoog","droog","licht"
"1142","hoog","droog","sterk"
"1143","laag","droog","licht"
"1144","hoog","droog","licht"
"1145","laag","nat","licht"
"1146","gemiddeld","droog","licht"
"1147","hoog","nat","licht"
"1148","hoog","nat","licht"
"1149","laag","nat","licht"
"1150","hoog","nat","sterk"
"1151","laag","droog","licht"
"1152","hoog","nat","licht"
"1153","gemiddeld","droog","licht"
"1154","laag","droog","licht"
"1155","laag","nat","licht"
"1156","hoog","droog","licht"
"1157","hoog","droog","licht"
"1158","hoog","droog","licht"
"1159","hoog","nat","licht"
"1160","hoog","nat","licht"
"1161","hoog","nat","licht"
"1162","hoog","nat","licht"
"1163","gemiddeld","droog","licht"
"1164","hoog","nat","licht"
"1165","laag","droog","licht"
"1166","hoog","nat","sterk"
"1167","laag","nat","sterk"
"1168","hoog","droog","licht"
"1169","gemiddeld","nat","licht"
"1170","hoog","nat","licht"
"1171","laag","nat","sterk"
"1172","laag","droog","licht"
"1173","gemiddeld","droog","licht"
"1174","gemiddeld","droog","licht"
"1175","gemiddeld","nat","licht"
"1176","hoog","droog","licht"
"1177","gemiddeld","nat","licht"
"1178","laag","nat","licht"
"1179","hoog","nat","licht"
"1180","hoog","nat","licht"
"1181","hoog","nat","licht"
"1182","hoog","droog","sterk"
"1183","gemiddeld","droog","licht"
"1184","hoog","droog","licht"
"1185","laag","nat","licht"
"1186","hoog","nat","licht"
"1187","hoog","droog","sterk"
"1188","gemiddeld","nat","licht"
"1189","hoog","droog","licht"
"1190","hoog","droog","licht"
"1191","laag","droog","licht"
"1192","laag","droog","licht"
"1193","hoog","droog","licht"
"1194","gemiddeld","droog","licht"
"1195","hoog","droog","licht"
"1196","laag","droog","sterk"
"1197","laag","droog","licht"
"1198","gemiddeld","droog","licht"
"1199","hoog","nat","licht"
"1200","hoog","droog","licht"
"1201","hoog","droog","licht"
"1202","gemiddeld","droog","sterk"
"1203","laag","droog","licht"
"1204","gemiddeld","droog","licht"
"1205","gemiddeld","nat","licht"
"1206","laag","droog","licht"
"1207","gemiddeld","droog","licht"
"1208","laag","nat","licht"
"1209","gemiddeld","droog","licht"
"1210","gemiddeld","droog","sterk"
"1211","hoog","droog","licht"
"1212","gemiddeld","nat","licht"
"1213","hoog","droog","licht"
"1214","hoog","droog","licht"
"1215","gemiddeld","droog","licht"
"1216","laag","droog","licht"
"1217","laag","droog","licht"
"1218","hoog","nat","licht"
"1219","gemiddeld","nat","licht"
"1220","hoog","nat","licht"
"1221","gemiddeld","nat","licht"
"1222","hoog","nat","licht"
"1223","gemiddeld","nat","licht"
"1224","laag","nat","licht"
"1225","hoog","droog","licht"
"1226","hoog","droog","licht"
"1227","hoog","droog","licht"
"1228","hoog","nat","licht"
"1229","laag","droog","licht"
"1230","gemiddeld","nat","licht"
"1231","hoog","droog","licht"
"1232","hoog","nat","licht"
"1233","hoog","nat","licht"
"1234","hoog","droog","licht"
"1235","hoog","droog","sterk"
"1236","laag","nat","licht"
"1237","gemiddeld","droog","licht"
"1238","gemiddeld","nat","licht"
"1239","gemiddeld","nat","sterk"
"1240","gemiddeld","nat","licht"
"1241","hoog","nat","sterk"
"1242","gemiddeld","droog","sterk"
"1243","hoog","nat","licht"
"1244","hoog","nat","licht"
"1245","laag","droog","licht"
"1246","laag","droog","licht"
"1247","laag","nat","licht"
"1248","laag","nat","licht"
"1249","laag","droog","sterk"
"1250","hoog","nat","licht"
"1251","hoog","nat","licht"
"1252","hoog","droog","licht"
"1253","laag","droog","licht"
"1254","laag","droog","licht"
"1255","gemiddeld","nat","licht"
"1256","hoog","droog","licht"
"1257","hoog","droog","licht"
"1258","gemiddeld","nat","licht"
"1259","laag","nat","licht"
"1260","hoog","droog","licht"
"1261","hoog","droog","licht"
"1262","laag","nat","licht"
"1263","hoog","droog","licht"
"1264","gemiddeld","droog","licht"
"1265","hoog","droog","sterk"
"1266","hoog","droog","licht"
"1267","gemiddeld","droog","licht"
"1268","laag","droog","licht"
"1269","hoog","droog","sterk"
"1270","hoog","droog","licht"
"1271","hoog","droog","licht"
"1272","hoog","nat","licht"
"1273","laag","droog","licht"
"1274","laag","droog","licht"
"1275","gemiddeld","droog","licht"
"1276","gemiddeld","droog","sterk"
"1277","hoog","droog","licht"
"1278","laag","droog","licht"
"1279","gemiddeld","droog","sterk"
"1280","laag","droog","licht"
"1281","hoog","droog","licht"
"1282","gemiddeld","nat","licht"
"1283","hoog","droog","licht"
"1284","gemiddeld","nat","licht"
"1285","laag","droog","sterk"
"1286","hoog","droog","licht"
"1287","hoog","nat","licht"
"1288","gemiddeld","droog","sterk"
"1289","gemiddeld","nat","licht"
"1290","hoog","nat","licht"
"1291","hoog","droog","licht"
"1292","laag","nat","sterk"
"1293","laag","nat","licht"
"1294","gemiddeld","droog","licht"
"1295","hoog","droog","sterk"
"1296","gemiddeld","nat","licht"
"1297","hoog","droog","licht"
"1298","gemiddeld","droog","licht"
"1299","hoog","nat","licht"
"1300","hoog","droog","licht"
"1301","gemiddeld","droog","licht"
"1302","hoog","droog","licht"
"1303","hoog","droog","licht"
"1304","laag","nat","sterk"
"1305","laag","droog","licht"
"1306","laag","nat","licht"
"1307","hoog","nat","sterk"
"1308","gemiddeld","nat","licht"
"1309","gemiddeld","droog","licht"
"1310","gemiddeld","droog","licht"
"1311","hoog","nat","licht"
"1312","gemiddeld","droog","licht"
"1313","gemiddeld","droog","licht"
"1314","gemiddeld","nat","licht"
"1315","gemiddeld","droog","sterk"
"1316","laag","droog","licht"
"1317","hoog","droog","licht"
"1318","hoog","nat","sterk"
"1319","laag","droog","licht"
"1320","gemiddeld","droog","licht"
"1321","gemiddeld","nat","licht"
"1322","hoog","droog","licht"
"1323","laag","nat","licht"
"1324","hoog","nat","licht"
"1325","hoog","droog","licht"
"1326","gemiddeld","droog","licht"
"1327","hoog","nat","licht"
"1328","hoog","nat","sterk"
"1329","hoog","nat","licht"
"1330","laag","droog","licht"
"1331","hoog","droog","sterk"
"1332","laag","droog","licht"
"1333","hoog","droog","sterk"
"1334","gemiddeld","nat","licht"
"1335","laag","nat","sterk"
"1336","gemiddeld","droog","licht"
"1337","gemiddeld","droog","licht"
"1338","laag","droog","licht"
"1339","laag","nat","licht"
"1340","hoog","droog","licht"
"1341","hoog","nat","licht"
"1342","hoog","droog","licht"
"1343","laag","droog","licht"
"1344","hoog","droog","licht"
"1345","hoog","droog","licht"
"1346","hoog","droog","sterk"
"1347","hoog","nat","licht"
"1348","hoog","nat","licht"
"1349","gemiddeld","droog","licht"
"1350","gemiddeld","nat","licht"
"1351","hoog","nat","licht"
"1352","hoog","droog","licht"
"1353","hoog","nat","licht"
"1354","hoog","nat","licht"
"1355","hoog","nat","licht"
"1356","gemiddeld","droog","licht"
"1357","gemiddeld","droog","licht"
"1358","hoog","droog","licht"
"1359","hoog","droog","licht"
"1360","laag","droog","licht"
"1361","laag","droog","licht"
"1362","laag","droog","sterk"
"1363","hoog","nat","licht"
"1364","hoog","nat","licht"
"1365","gemiddeld","nat","licht"
"1366","hoog","droog","sterk"
"1367","gemiddeld","nat","sterk"
"1368","hoog","droog","licht"
"1369","hoog","droog","licht"
"1370","gemiddeld","droog","licht"
"1371","hoog","droog","licht"
"1372","hoog","droog","licht"
"1373","hoog","droog","licht"
"1374","hoog","nat","licht"
"1375","laag","droog","licht"
"1376","laag","nat","sterk"
"1377","laag","droog","licht"
"1378","laag","droog","sterk"
"1379","hoog","droog","licht"
"1380","gemiddeld","droog","licht"
"1381","laag","droog","sterk"
"1382","gemiddeld","droog","licht"
"1383","gemiddeld","nat","licht"
"1384","hoog","nat","licht"
"1385","hoog","droog","licht"
"1386","hoog","droog","licht"
"1387","hoog","droog","licht"
"1388","laag","droog","sterk"
"1389","gemiddeld","droog","licht"
"1390","gemiddeld","droog","licht"
"1391","gemiddeld","nat","sterk"
"1392","hoog","droog","sterk"
"1393","hoog","droog","sterk"
"1394","laag","nat","licht"
"1395","gemiddeld","nat","licht"
"1396","hoog","droog","sterk"
"1397","gemiddeld","nat","licht"
"1398","laag","nat","licht"
"1399","hoog","nat","licht"
"1400","gemiddeld","nat","licht"
"1401","hoog","nat","licht"
"1402","gemiddeld","nat","licht"
"1403","laag","nat","licht"
"1404","hoog","nat","sterk"
"1405","gemiddeld","droog","licht"
"1406","laag","nat","licht"
"1407","gemiddeld","nat","licht"
"1408","hoog","nat","sterk"
"1409","hoog","droog","licht"
"1410","hoog","nat","licht"
"1411","hoog","nat","sterk"
"1412","gemiddeld","nat","sterk"
"1413","hoog","nat","licht"
"1414","gemiddeld","nat","licht"
"1415","hoog","droog","licht"
"1416","gemiddeld","droog","sterk"
"1417","laag","nat","licht"
"1418","hoog","nat","licht"
"1419","laag","nat","licht"
"1420","hoog","droog","licht"
"1421","laag","droog","licht"
"1422","gemiddeld","nat","licht"
"1423","laag","droog","licht"
"1424","hoog","droog","sterk"
"1425","gemiddeld","nat","sterk"
"1426","hoog","droog","licht"
"1427","hoog","nat","licht"
"1428","gemiddeld","nat","licht"
"1429","hoog","droog","sterk"
"1430","laag","droog","licht"
"1431","hoog","nat","licht"
"1432","laag","droog","sterk"
"1433","hoog","droog","sterk"
"1434","hoog","nat","licht"
"1435","laag","droog","sterk"
"1436","gemiddeld","nat","licht"
"1437","gemiddeld","droog","sterk"
"1438","laag","nat","sterk"
"1439","laag","nat","sterk"
"1440","hoog","nat","licht"
"1441","gemiddeld","nat","licht"
"1442","gemiddeld","droog","licht"
"1443","hoog","nat","licht"
"1444","gemiddeld","droog","licht"
"1445","laag","droog","licht"
"1446","hoog","nat","licht"
"1447","gemiddeld","nat","licht"
"1448","hoog","droog","licht"
"1449","hoog","droog","sterk"
"1450","gemiddeld","nat","licht"
"1451","gemiddeld","droog","licht"
"1452","hoog","nat","licht"
"1453","hoog","nat","licht"
"1454","gemiddeld","droog","licht"
"1455","laag","droog","sterk"
"1456","hoog","nat","licht"
"1457","gemiddeld","nat","licht"
"1458","hoog","nat","licht"
"1459","hoog","nat","licht"
"1460","gemiddeld","droog","licht"
"1461","hoog","nat","licht"
"1462","gemiddeld","nat","licht"
"1463","laag","droog","licht"
"1464","hoog","nat","licht"
"1465","hoog","nat","licht"
"1466","hoog","droog","licht"
"1467","hoog","nat","licht"
"1468","laag","droog","sterk"
"1469","gemiddeld","droog","licht"
"1470","hoog","nat","licht"
"1471","hoog","nat","licht"
"1472","laag","nat","sterk"
"1473","laag","droog","licht"
"1474","hoog","droog","licht"
"1475","gemiddeld","nat","licht"
"1476","gemiddeld","nat","licht"
"1477","laag","nat","sterk"
"1478","gemiddeld","droog","licht"
"1479","gemiddeld","nat","licht"
"1480","gemiddeld","nat","licht"
"1481","hoog","droog","licht"
"1482","hoog","droog","sterk"
"1483","hoog","nat","licht"
"1484","hoog","nat","sterk"
"1485","laag","nat","licht"
"1486","gemiddeld","nat","licht"
"1487","laag","droog","licht"
"1488","gemiddeld","droog","licht"
"1489","hoog","droog","licht"
"1490","laag","nat","sterk"
"1491","hoog","nat","licht"
"1492","hoog","droog","licht"
"1493","laag","nat","licht"
"1494","gemiddeld","droog","licht"
"1495","hoog","droog","licht"
"1496","gemiddeld","nat","licht"
"1497","laag","nat","licht"
"1498","laag","droog","licht"
"1499","laag","droog","licht"
"1500","gemiddeld","droog","licht"
"1501","hoog","droog","licht"
"1502","laag","droog","licht"
"1503","hoog","droog","licht"
"1504","gemiddeld","droog","licht"
"1505","hoog","nat","licht"
"1506","hoog","droog","licht"
"1507","gemiddeld","nat","licht"
"1508","gemiddeld","droog","licht"
"1509","hoog","droog","licht"
"1510","gemiddeld","droog","licht"
"1511","hoog","nat","licht"
"1512","gemiddeld","nat","licht"
"1513","laag","nat","sterk"
"1514","laag","droog","licht"
"1515","laag","droog","licht"
"1516","hoog","nat","licht"
"1517","laag","droog","licht"
"1518","gemiddeld","droog","sterk"
"1519","hoog","droog","sterk"
"1520","gemiddeld","nat","licht"
"1521","gemiddeld","droog","licht"
"1522","laag","nat","licht"
"1523","gemiddeld","droog","licht"
"1524","laag","droog","sterk"
"1525","hoog","nat","licht"
"1526","laag","droog","licht"
"1527","gemiddeld","droog","licht"
"1528","laag","droog","licht"
"1529","gemiddeld","droog","licht"
"1530","laag","droog","licht"
"1531","laag","droog","licht"
"1532","hoog","droog","licht"
"1533","gemiddeld","nat","licht"
"1534","hoog","nat","licht"
"1535","laag","droog","licht"
"1536","hoog","nat","licht"
"1537","gemiddeld","droog","sterk"
"1538","gemiddeld","droog","licht"
"1539","hoog","nat","licht"
"1540","gemiddeld","droog","licht"
"1541","hoog","nat","licht"
"1542","hoog","droog","sterk"
"1543","hoog","nat","licht"
"1544","laag","droog","licht"
"1545","laag","nat","licht"
"1546","gemiddeld","nat","sterk"
"1547","laag","droog","licht"
"1548","gemiddeld","droog","licht"
"1549","gemiddeld","nat","licht"
"1550","gemiddeld","nat","licht"
"1551","hoog","nat","sterk"
"1552","hoog","droog","sterk"
"1553","laag","droog","sterk"
"1554","hoog","droog","licht"
"1555","gemiddeld","droog","licht"
"1556","laag","nat","licht"
"1557","hoog","nat","licht"
"1558","laag","droog","licht"
"1559","laag","droog","sterk"
"1560","laag","nat","sterk"
"1561","hoog","nat","licht"
"1562","laag","droog","licht"
"1563","laag","nat","sterk"
"1564","hoog","nat","licht"
"1565","hoog","droog","sterk"
"1566","laag","droog","licht"
"1567","gemiddeld","droog","licht"
"1568","laag","droog","licht"
"1569","laag","nat","licht"
"1570","hoog","droog","licht"
"1571","hoog","droog","licht"
"1572","gemiddeld","droog","sterk"
"1573","gemiddeld","nat","licht"
"1574","laag","droog","sterk"
"1575","gemiddeld","droog","licht"
"1576","laag","nat","licht"
"1577","laag","nat","licht"
"1578","hoog","nat","licht"
"1579","hoog","droog","licht"
"1580","laag","droog","licht"
"1581","gemiddeld","droog","licht"
"1582","laag","droog","licht"
"1583","laag","droog","licht"
"1584","laag","droog","licht"
"1585","gemiddeld","droog","licht"
"1586","gemiddeld","droog","licht"
"1587","laag","nat","licht"
"1588","gemiddeld","droog","licht"
"1589","gemiddeld","nat","licht"
"1590","gemiddeld","droog","licht"
"1591","hoog","droog","licht"
"1592","laag","droog","licht"
"1593","gemiddeld","nat","licht"
"1594","hoog","droog","licht"
"1595","hoog","droog","licht"
"1596","hoog","nat","licht"
"1597","hoog","droog","sterk"
"1598","hoog","droog","licht"
"1599","laag","nat","sterk"
"1600","hoog","droog","licht"
"1601","hoog","nat","licht"
"1602","hoog","nat","licht"
"1603","hoog","nat","licht"
"1604","laag","nat","licht"
"1605","laag","nat","licht"
"1606","hoog","nat","licht"
"1607","gemiddeld","droog","licht"
"1608","hoog","droog","licht"
"1609","hoog","nat","licht"
"1610","hoog","droog","licht"
"1611","gemiddeld","droog","licht"
"1612","gemiddeld","droog","licht"
"1613","hoog","droog","sterk"
"1614","gemiddeld","nat","licht"
"1615","laag","nat","licht"
"1616","laag","nat","licht"
"1617","laag","nat","licht"
"1618","hoog","droog","licht"
"1619","hoog","nat","licht"
"1620","laag","droog","sterk"
"1621","gemiddeld","nat","licht"
"1622","gemiddeld","nat","licht"
"1623","laag","nat","licht"
"1624","hoog","nat","licht"
"1625","gemiddeld","nat","licht"
"1626","laag","nat","sterk"
"1627","hoog","droog","sterk"
"1628","laag","nat","licht"
"1629","gemiddeld","nat","licht"
"1630","laag","droog","licht"
"1631","laag","nat","licht"
"1632","hoog","nat","licht"
"1633","laag","nat","licht"
"1634","hoog","nat","licht"
"1635","hoog","nat","licht"
"1636","gemiddeld","nat","sterk"
"1637","hoog","nat","licht"
"1638","hoog","nat","sterk"
"1639","gemiddeld","droog","sterk"
"1640","hoog","droog","licht"
"1641","gemiddeld","droog","sterk"
"1642","laag","droog","licht"
"1643","laag","nat","licht"
"1644","hoog","nat","licht"
"1645","gemiddeld","droog","licht"
"1646","hoog","nat","licht"
"1647","gemiddeld","droog","licht"
"1648","hoog","droog","licht"
"1649","gemiddeld","droog","licht"
"1650","laag","droog","licht"
"1651","gemiddeld","nat","licht"
"1652","hoog","droog","licht"
"1653","hoog","droog","licht"
"1654","hoog","droog","licht"
"1655","laag","nat","licht"
"1656","gemiddeld","droog","licht"
"1657","hoog","nat","licht"
"1658","gemiddeld","droog","sterk"
"1659","gemiddeld","droog","licht"
"1660","hoog","droog","licht"
"1661","hoog","droog","sterk"
"1662","gemiddeld","droog","licht"
"1663","laag","nat","licht"
"1664","gemiddeld","droog","licht"
"1665","laag","nat","licht"
"1666","laag","droog","sterk"
"1667","hoog","nat","licht"
"1668","gemiddeld","nat","licht"
"1669","gemiddeld","droog","licht"
"1670","hoog","droog","licht"
"1671","laag","nat","licht"
"1672","laag","nat","licht"
"1673","laag","droog","licht"
"1674","hoog","droog","licht"
"1675","gemiddeld","droog","licht"
"1676","gemiddeld","droog","licht"
"1677","hoog","nat","licht"
"1678","laag","nat","licht"
"1679","hoog","droog","licht"
"1680","hoog","nat","licht"
"1681","laag","nat","licht"
"1682","gemiddeld","droog","licht"
"1683","hoog","nat","licht"
"1684","laag","nat","licht"
"1685","laag","nat","licht"
"1686","laag","droog","sterk"
"1687","hoog","droog","licht"
"1688","laag","nat","licht"
"1689","hoog","droog","sterk"
"1690","laag","nat","licht"
"1691","gemiddeld","nat","licht"
"1692","gemiddeld","droog","licht"
"1693","laag","droog","licht"
"1694","hoog","nat","licht"
"1695","gemiddeld","droog","licht"
"1696","hoog","nat","licht"
"1697","hoog","nat","licht"
"1698","laag","nat","licht"
"1699","gemiddeld","nat","licht"
"1700","hoog","droog","licht"
"1701","gemiddeld","nat","sterk"
"1702","gemiddeld","droog","licht"
"1703","gemiddeld","droog","licht"
"1704","hoog","nat","licht"
"1705","hoog","nat","sterk"
"1706","hoog","nat","licht"
"1707","hoog","nat","licht"
"1708","gemiddeld","nat","licht"
"1709","hoog","droog","licht"
"1710","hoog","nat","licht"
"1711","hoog","nat","licht"
"1712","hoog","droog","licht"
"1713","hoog","nat","sterk"
"1714","hoog","droog","licht"
"1715","hoog","droog","licht"
"1716","laag","droog","licht"
"1717","hoog","droog","licht"
"1718","hoog","nat","licht"
"1719","hoog","nat","licht"
"1720","gemiddeld","droog","licht"
"1721","laag","droog","licht"
"1722","hoog","nat","sterk"
"1723","laag","nat","licht"
"1724","laag","droog","sterk"
"1725","hoog","droog","sterk"
"1726","gemiddeld","droog","licht"
"1727","hoog","droog","licht"
"1728","laag","nat","sterk"
"1729","gemiddeld","droog","licht"
"1730","laag","nat","licht"
"1731","laag","droog","sterk"
"1732","hoog","nat","sterk"
"1733","gemiddeld","droog","licht"
"1734","gemiddeld","nat","sterk"
"1735","hoog","droog","licht"
"1736","laag","droog","licht"
"1737","gemiddeld","nat","licht"
"1738","gemiddeld","nat","licht"
"1739","gemiddeld","nat","licht"
"1740","hoog","nat","licht"
"1741","laag","nat","licht"
"1742","laag","nat","licht"
"1743","gemiddeld","nat","licht"
"1744","gemiddeld","droog","sterk"
"1745","hoog","nat","licht"
"1746","hoog","droog","licht"
"1747","hoog","nat","licht"
"1748","laag","droog","licht"
"1749","hoog","droog","licht"
"1750","gemiddeld","droog","licht"
"1751","gemiddeld","droog","sterk"
"1752","gemiddeld","droog","sterk"
"1753","gemiddeld","nat","licht"
"1754","hoog","nat","licht"
"1755","laag","droog","licht"
"1756","hoog","droog","sterk"
"1757","gemiddeld","droog","licht"
"1758","gemiddeld","nat","licht"
"1759","hoog","nat","licht"
"1760","laag","droog","licht"
"1761","hoog","droog","sterk"
"1762","gemiddeld","droog","licht"
"1763","gemiddeld","nat","licht"
"1764","gemiddeld","droog","licht"
"1765","gemiddeld","nat","licht"
"1766","gemiddeld","nat","licht"
"1767","gemiddeld","nat","licht"
"1768","gemiddeld","droog","licht"
"1769","laag","nat","licht"
"1770","hoog","nat","licht"
"1771","laag","nat","licht"
"1772","hoog","nat","licht"
"1773","hoog","nat","licht"
"1774","hoog","nat","licht"
"1775","laag","nat","licht"
"1776","hoog","droog","licht"
"1777","hoog","droog","licht"
"1778","hoog","droog","licht"
"1779","gemiddeld","droog","licht"
"1780","hoog","nat","licht"
"1781","gemiddeld","droog","licht"
"1782","hoog","nat","licht"
"1783","hoog","droog","licht"
"1784","hoog","nat","licht"
"1785","laag","nat","licht"
"1786","hoog","nat","licht"
"1787","hoog","nat","licht"
"1788","hoog","nat","licht"
"1789","gemiddeld","nat","sterk"
"1790","laag","nat","licht"
"1791","gemiddeld","nat","licht"
"1792","gemiddeld","nat","licht"
"1793","hoog","nat","licht"
"1794","gemiddeld","droog","licht"
"1795","laag","droog","licht"
"1796","gemiddeld","nat","licht"
"1797","hoog","nat","licht"
"1798","hoog","nat","sterk"
"1799","hoog","droog","licht"
"1800","hoog","nat","licht"
"1801","hoog","nat","licht"
"1802","hoog","nat","sterk"
"1803","gemiddeld","droog","licht"
"1804","gemiddeld","nat","sterk"
"1805","gemiddeld","droog","licht"
"1806","gemiddeld","nat","licht"
"1807","hoog","droog","licht"
"1808","laag","droog","sterk"
"1809","gemiddeld","nat","licht"
"1810","hoog","droog","licht"
"1811","hoog","nat","licht"
"1812","hoog","droog","licht"
"1813","gemiddeld","droog","licht"
"1814","hoog","droog","licht"
"1815","gemiddeld","nat","licht"
"1816","hoog","droog","sterk"
